Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1.0,Graduate,No,2560,1816,38.0,360.0,1.0,Semiurban,Y
Female,Yes,2.0,Graduate,No,3160,4331,66.0,,1.0,Rural,Y
Female,No,2.0,Not Graduate,Yes,9007,1466,133.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,5417,2969,175.0,360.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,7851,2757,136.0,360.0,1.0,Rural,Y
,No,0.0,Not Graduate,No,7885,755,165.0,120.0,,Semiurban,N
Male,Yes,0.0,Graduate,No,5067,349,103.0,360.0,1.0,Rural,Y
Female,No,0.0,Graduate,No,7126,1038,36.0,360.0,1.0,Rural,Y
Male,Yes,1.0,Graduate,No,4917,2319,110.0,360.0,,Urban,Y
Female,Yes,0.0,Graduate,Yes,4496,3207,111.0,,1.0,Urban,Y
Male,Yes,0.0,Not Graduate,No,3996,20,,360.0,1.0,Urban,Y
Female,Yes,0.0,Not Graduate,No,6901,653,180.0,360.0,1.0,Urban,Y
Female,No,1.0,Not Graduate,No,9730,1711,69.0,180.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,9217,2048,30.0,360.0,0.0,Semiurban,Y
Male,Yes,1.0,Graduate,No,2933,573,121.0,120.0,1.0,Rural,Y
Male,Yes,0.0,Not Graduate,No,9650,782,95.0,300.0,1.0,Rural,Y
Male,Yes,2.0,Graduate,,3564,280,277.0,360.0,1.0,Semiurban,N
Male,No,2.0,Graduate,,5976,3674,229.0,300.0,1.0,Urban,Y
Male,Yes,0.0,Graduate,No,6453,1535,59.0,360.0,1.0,Urban,Y
Male,No,0.0,Graduate,No,2565,774,178.0,360.0,1.0,Semiurban,Y
Male,No,0.0,Graduate,No,5159,2840,164.0,360.0,1.0,Urban,N
Male,Yes,0.0,Not Graduate,No,9917,1534,161.0,,0.0,Rural,N
Male,No,1.0,Not Graduate,,1592,3170,407.0,180.0,1.0,Rural,N
Male,Yes,2.0,Graduate,No,14501,3465,123.0,360.0,0.0,Urban,Y
Male,Yes,1.0,Graduate,No,1885,574,,360.0,1.0,Semiurban,Y
Female,Yes,2.0,Graduate,No,6380,2954,202.0,300.0,,Urban,N
Male,No,0.0,Not Graduate,No,2628,2882,154.0,300.0,1.0,Semiurban,Y
Male,No,0.0,Graduate,No,6834,1828,275.0,300.0,1.0,Urban,N
Male,Yes,2.0,Graduate,No,9037,1930,143.0,360.0,1.0,Urban,N
Male,No,0.0,Graduate,No,7958,1459,196.0,360.0,0.0,Semiurban,N
Male,Yes,1.0,Graduate,No,2673,480,88.0,300.0,1.0,Semiurban,Y
Male,Yes,0.0,Graduate,No,8536,445,66.0,360.0,1.0,Semiurban,Y
Male,Yes,0.0,Not Graduate,No,4927,3772,168.0,180.0,1.0,Semiurban,N
Female,No,3.0,Graduate,Yes,2714,1533,126.0,360.0,1.0,Semiurban,Y
Female,No,0.0,Graduate,No,9886,1093,130.0,360.0,1.0,Rural,Y
Female,Yes,3.0,Graduate,Yes,12995,2012,108.0,240.0,1.0,Rural,Y
